run_name,env,space,algo,seed,p_stay,regime,safe,final_reward_mean,violation_rate,has_progress,has_train_monitor
merge-v0_discrete_dqn_seed0_pst0.85_nonstationary_safeoff,merge-v0,discrete,dqn,0,0.85,nonstationary,off,13.974616622597404,0.013185714285714285,True,True
merge-v0_discrete_dqn_seed1_pst0.85_nonstationary_safeoff,merge-v0,discrete,dqn,1,0.85,nonstationary,off,13.903649115141114,0.012573809523809524,True,True
merge-v0_discrete_dqn_seed2_pst0.85_nonstationary_safeoff,merge-v0,discrete,dqn,2,0.85,nonstationary,off,13.691153979396486,0.008895,True,True
merge-v0_discrete_dqn_seed0_pst0.85_nonstationary_safeon,merge-v0,discrete,dqn,0,0.85,nonstationary,on,13.972497724290514,0.0,True,True
merge-v0_discrete_dqn_seed1_pst0.85_nonstationary_safeon,merge-v0,discrete,dqn,1,0.85,nonstationary,on,13.948142047291842,0.0,True,True
merge-v0_discrete_dqn_seed2_pst0.85_nonstationary_safeon,merge-v0,discrete,dqn,2,0.85,nonstationary,on,13.857533813731095,0.0,True,True
merge-v0_discrete_dqn_seed0_pst1.00_stationary_safeoff,merge-v0,discrete,dqn,0,1.0,stationary,off,13.974616622597404,0.011314285714285714,True,True
merge-v0_discrete_dqn_seed1_pst1.00_stationary_safeoff,merge-v0,discrete,dqn,1,1.0,stationary,off,13.903649115141114,0.010554761904761905,True,True
merge-v0_discrete_dqn_seed2_pst1.00_stationary_safeoff,merge-v0,discrete,dqn,2,1.0,stationary,off,13.691153979396486,0.008155,True,True
merge-v0_discrete_dqn_seed0_pst1.00_stationary_safeon,merge-v0,discrete,dqn,0,1.0,stationary,on,13.972497724290514,0.0,True,True
merge-v0_discrete_dqn_seed1_pst1.00_stationary_safeon,merge-v0,discrete,dqn,1,1.0,stationary,on,13.948142047291842,0.0,True,True
merge-v0_discrete_dqn_seed2_pst1.00_stationary_safeon,merge-v0,discrete,dqn,2,1.0,stationary,on,13.857533813731095,0.0,True,True
merge-v0_discrete_ppo_seed0_pst0.85_nonstationary_safeoff,merge-v0,discrete,ppo,0,0.85,nonstationary,off,14.47318142,0.00583446269132653,True,True
merge-v0_discrete_ppo_seed1_pst0.85_nonstationary_safeoff,merge-v0,discrete,ppo,1,0.85,nonstationary,off,14.366083742,0.005605269451530612,True,True
merge-v0_discrete_ppo_seed2_pst0.85_nonstationary_safeoff,merge-v0,discrete,ppo,2,0.85,nonstationary,off,14.424240672000002,0.005831971460459184,True,True
merge-v0_discrete_ppo_seed0_pst0.85_nonstationary_safeon,merge-v0,discrete,ppo,0,0.85,nonstationary,on,14.018078602000003,0.0,True,True
merge-v0_discrete_ppo_seed1_pst0.85_nonstationary_safeon,merge-v0,discrete,ppo,1,0.85,nonstationary,on,13.890055244000001,0.0,True,True
merge-v0_discrete_ppo_seed2_pst0.85_nonstationary_safeon,merge-v0,discrete,ppo,2,0.85,nonstationary,on,13.89264474,0.0,True,True
merge-v0_discrete_ppo_seed0_pst1.00_stationary_safeoff,merge-v0,discrete,ppo,0,1.0,stationary,off,14.47318142,0.005331234056122449,True,True
merge-v0_discrete_ppo_seed1_pst1.00_stationary_safeoff,merge-v0,discrete,ppo,1,1.0,stationary,off,14.366083742,0.005219128667091837,True,True
merge-v0_discrete_ppo_seed2_pst1.00_stationary_safeoff,merge-v0,discrete,ppo,2,1.0,stationary,off,14.424240672000002,0.0052963568239795915,True,True
merge-v0_discrete_ppo_seed0_pst1.00_stationary_safeon,merge-v0,discrete,ppo,0,1.0,stationary,on,14.018078602000003,0.0,True,True
merge-v0_discrete_ppo_seed1_pst1.00_stationary_safeon,merge-v0,discrete,ppo,1,1.0,stationary,on,13.890055244000001,0.0,True,True
merge-v0_discrete_ppo_seed2_pst1.00_stationary_safeon,merge-v0,discrete,ppo,2,1.0,stationary,on,13.89264474,0.0,True,True
highway-v0_continuous_sac_seed0_pst0.85_nonstationary_safeoff,highway-v0,continuous,sac,0,0.85,nonstationary,off,41.58632982867133,3.503076869183433e-05,True,True
highway-v0_continuous_sac_seed1_pst0.85_nonstationary_safeoff,highway-v0,continuous,sac,1,0.85,nonstationary,off,2.3952385,0.0,True,True
highway-v0_continuous_sac_seed2_pst0.85_nonstationary_safeoff,highway-v0,continuous,sac,2,0.85,nonstationary,off,,5.005731562639222e-06,False,True
highway-v0_continuous_sac_seed0_pst1.00_stationary_safeoff,highway-v0,continuous,sac,0,1.0,stationary,off,,1e-05,False,True
highway-v0_continuous_sac_seed1_pst1.00_stationary_safeoff,highway-v0,continuous,sac,1,1.0,stationary,off,4.362189987886384,0.0,True,True
highway-v0_continuous_sac_seed2_pst1.00_stationary_safeoff,highway-v0,continuous,sac,2,1.0,stationary,off,56.87722088910179,5e-06,True,True
